ID,Settlement,Architectural/Urban Remains,Ethnicity_A1,Ethnicity_A2,Ethnicity_B1,Ethnicity_B2,Ethnicity_C1,Ethnicity_C2,Start Date,End Date,Roman Province 1,Roman Province 2,Legal Status A,Legal Status B,Legal Status C,Via,Conventus,Mint,Excavated,Modern Place,Modern Region,Modern Province,Pleiades URI,IAPH,TM URI,Wikipedia,,,
39,Barba,,,,Roman republican,Roman,,,-30,640,,Baetica,Municipium pagus,,,,Conventus Astigitanus,FALSO,,Noroeste de Campillos,Málaga,Andalucía,https://pleiades.stoa.org/places/256453,,http://www.trismegistos.org/place/26611,https://es.wikipedia.org/wiki/El_Viso,,,
40,Barbariana Barbesula,,Punic,Punic,Roman republican,Roman,,,-30,640,,Baetica,,,,,Conventus Gaditanus,FALSO,VERDADERO,"Desembocadura del Guadiaro, San Roque",Cádiz,Andalucía,https://pleiades.stoa.org/places/256017,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i7971,http://www.trismegistos.org/place/26403,https://es.wikipedia.org/wiki/Barbesula,,,
41,Baria,,Phoenician,Phoenician,Punic,Punic,Roman republican,Roman,-550,640,Ulterior,Tarraconensis,Oppidum,,,,Conventus Carthaginensis,VERDADERO,VERDADERO,Villaricos,Almeria,Andalucía,https://pleiades.stoa.org/places/265820,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i23529,http://www.trismegistos.org/place/26581,https://es.wikipedia.org/wiki/Villaricos,,,
42,Basilippo,,Iberian,Iberian,Punic,Punic,Roman republican,Roman,-30,640,,Baetica,Oppidum,,,,Conventus Hispalensis,FALSO,VERDADERO,«Cerro del Cincho»/ Carmona,Sevilla,Andalucía,https://pleiades.stoa.org/places/256020,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i7369,http://www.trismegistos.org/place/26200,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
43,Basti,Temple above podium; termae; hypocastum,Bastetani,Iberian,Roman republican,Roman,,,-330,640,,Baetica,Oppidum,"Civitas stipendiaria (Pliny, III, 25).",,,Conventus Hispalensis,FALSO,VERDADERO,"Cerro Cepero, Baza",Granada,Andalucía,https://pleiades.stoa.org/places/265823,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i3212&ids=180230023,http://www.trismegistos.org/place/26582,https://es.wikipedia.org/wiki/Ciudad_iberorromana_de_Basti,,,
44,Batora,,,,,,,,-30,300,,Baetica,Oppidum,,,,Conventus Cordubensis,FALSO,,Avenzalá,Jaén,Andalucía,https://pleiades.stoa.org/places/265825,,http://www.trismegistos.org/place/26163,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
45,Bora,,Iberian,Iberian,Roman republican,Roman,,,-330,300,,Baetica,Oppidum,,,,,VERDADERO,,Cerro San cristobal,Málaga,Andalucía,https://pleiades.stoa.org/places/265829,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i14123&ids=230100002,http://www.trismegistos.org/place/38622,,,,
46,Brutobriga,,Turdetani,Iberian,Lusitanian,Lusitanian,Roman republican,Roman,-330,300,Ulterior,Baetica,,,,,Conventus Cordubensis?,VERDADERO,,Villanueva de la Serena,Extremadura,Badajoz,https://pleiades.stoa.org/places/256032,,,https://es.wikipedia.org/wiki/Villanueva_de_la_Serena,,,
47,Caepionis Turris,,,,,,,,-140,640,,Baetica,Port tower,,,,Conventus Gaditanus,FALSO,,Chipiona,Cadiz,Andalucía,https://pleiades.stoa.org/places/256038,,http://www.trismegistos.org/place/25988,https://en.wikipedia.org/wiki/Chipiona_Lighthouse,,,
48,Caetaria,,Roman,Roman,Roman republican,Roman,,,-30,640,,Baetica,Salting factory,,,,Conventus Gaditanus,FALSO,,Poblado de Getares/ Algeciras,Cadiz,Andalucía,https://pleiades.stoa.org/places/256103,,,https://es.wikipedia.org/wiki/Caetaria,,,
